"x"변경변경================================변경 변경 
"1" " 
										
									"
"2" " 
										재밌는데 평점이 왜 이렇게 낮은걸까?
옵~멋쪄요
									"
"3" " 
										패턴이 다 비슷해서 식상해지기 시작함.로봇들의 결투씬 조차 너무 길어서 졸았음.
									"
"4" " 
										지루와 중구난방 
									"
"5" " 
										다음엔더 잘만들수 있죠 믿을게요~~
									"
"6" " 
										
									"
"7" " 
										겁나 내용도 없고 진전도 없고, 재미도 없고, 정신도 없다.
너무 작위적이다.
									"
"8" " 
										정신없당
									"
"9" " 
										
									"
"10" " 
										
									"
"11" " 
										트포는 1빼고 다 걸러라 ㅉㅉ 아직도 보는 흑우 없제?
									"
"12" " 
										
									"
"13" " 
										내가 옛날에 제일많이보던 그 트랜스포머는 어디갔나요? 트랜스포머가 어쩌다 이지경까지 왔죠? 그래도 트랜스포머에 대한 믿음과 희망이 있기때문에 참고 기다리겠습니다.
									"
"14" " 
										변신장면도 식상해식상해진 영화에 짱개까지 합세하니   시끄럽고정신없고 잠만오네 시리즈  그만 만들어라
									"
"15" " 
										
									"
"16" " 
										굉장히 재밌게봄
									"
"17" " 
										스토리보다는 볼거리를 택했지만 너무 정신없다...
									"
"18" " 
										
									"
"19" " 
										재미 있어요.
보니까 좋던데요.
									"
"20" " 
										스케일 아주 커지고 볼거리가 많다
									"
"21" " 
										트랜스포머 시리즈중 역대 최악
다른거 다 봐도 이건 진짜 안봐도 됨
긴 영화시간이 낭비라는걸 느끼게해준다
									"
"22" " 
										
									"
"23" " 
										 트랜스포머. 제가 어릴때 정말 좋아하는 영화였는데 2, 3, 4편으로 갈 때 마다 실망이 컸네요. 이번 5편 만큼은 성공하길 빌었지만 괜히 새로운 캐릭터들을 쑤셔 넣고 스토리도 지루했고 엉망으로 만들었네요. 진짜 트랜스포머는 1편만 만들고 끝냈어야 했습니다.
									"
"24" " 
										예술은 폭발이다.퍼버펑
									"
"25" " 
										조금 시간줄이고 넘 재미있고 옵티머스 겁나넘나열라존땡 멋잇고 트랜스포머678910도 ㄱ ㅏ즈 ㅇ ㅏ
									"
"26" " 
										이야 개꿀 트랜스포머 6도 가즈ㅏㅇ
									"
"27" " 
										더이상은  제발  만들지말아주세요
									"
"28" " 
										심도없는 영화
"
"29" " 
										먼가 재미없다 드럽게
DC같은 재치있는 유머도 아니고 재미없는 드립에
캐릭터들도 매력없고
									"
"30" " 
										전편에 공룡 나오던 황당함보다는 좋았다. 새로 등장하는 로봇들이 멋지고 귀여워서 점수 많이 드립니다. 
"
"31" " 
										역사 끼워맞춘거는 어이없지만스케일은 갑
									"
"32" " 
										
									"
"33" " 
										
									"
"34" " 
										이전작들보다 훨씬 완성도 있게 잘 만들었구만 뭘 보는건지
이게 첫작이었음 평이 달랐을거 평도 초심을 잃지 말아야
									"
"35" " 
										옵티머스 프라임
									"
"36" " 
										역대급 재미없다
									"
"37" " 
										진작 끝났어야 한다
									"
"38" " 
										제발 이게 마지막 편이었으면 좋겠다......
									"
"39" " 
										
									"
"40" " 
										 전작보단 나았다.
 이게 끝이 아니겠지... 
 그래도 기사전설은 쿨하니 좋았다.
 마무릴 잘 못해서 그렇지? 귀따가운 전개
였고 뜬금포 많았지만 난 괜찮게봤다. 
									"
"41" " 
										
									"
"42" " 
										난잡하고 스토리는 없고
									"
"43" " 
										수습이 불가할 정도로 막나가는 스토리
									"
"44" " 
										왜 이래.. 왜 자꾸 이러는건데.. ㅜ 그래도 다음 시리즈 나오면 난 또 영화보러 가겠지..
									"
"45" " 
										
									"
"46" " 
										갠적으로 트랜스포머 팬이라서 넘 조앗음
									"
"47" " 
										
									"
"48" " 
										그동안 즐거웠어요.
									"
"49" " 
										그냥 변신로봇, 끝.
									"
"50" " 
										
									"
"51" " 
										
									"
"52" " 
										
									"
"53" " 
										
									"
"54" " 
										하고싶어요안될까요제발보내드립니다!
									"
"55" " 
										
									"
"56" " 
										
									"
"57" " 
										
									"
"58" " 
										
									"
"59" " 
										10번 정도 끊어서 봤는데, 그냥저냥 볼만 했던 것 같다. 근데 윗위키는 어디간건 지...
									"
"60" " 
										
									"
"61" " 
										내용이나 인과관계가 허술하긴 하지만 휴일날 시간때우기엔 볼거리도 있고 나쁘진 않다..
									"
"62" " 
										
									"
"63" " 
										어떻게 이런 졸작중의 졸작을 만들줄이야~ 영화가 빨리 끝나기만을 바라게되네~~ 기가막히게 못만든 영화
									"
"64" " 
										헉! 부서지는것만 기억에 남는다는...
									"
"65" " 
										이만한 sf영화없다 최고의 명작시리즈!
									"
"66" " 
										
									"
"67" " 
										
									"
"68" " 
										혹시 이번엔....  역시나...
									"
"69" " 
										
									"
"70" " 
										멋진 CG와 특수효과들까지는 좋은데, 트랜스포머의 세계관까지 버려가면서 만든 이야기가 너무 조잡하고 어처구니 없다. 캐릭터들 간의 상관관계부터 사건 사고들의 인과관계까지 무엇하나 제대로 된 부분이 없는 듯. 제대로 된 영화가 아닌, 그저 네임밸류를 등에 업고서 돈이나 벌어보겠다고 만든 티가 풀풀 난다.
									"
"71" " 
										영국 제작비라도 받은 것인가. 
영국나라 홉킨스 영감은 지구대표 열사.
옵티머스 프라임의 변사 내레이션은
실버 고객들도 행복사 시킬 듯.
"
"72" " 
										놀랍다! 보면서 졸다니! ㅋㅋ 
									"
"73" " 
										
									"
"74" " 
										아주 가관이야 ㅋㅋ
									"
"75" " 
										윅위키 보고싶어요
									"
"76" " 
										작품성 바라는 것도 아니고 그저 화끈하게 재미있기를 바라는 건데, 돈 퍼부어서 수준 이하를 만들어놨네. 이상한 진행에, 볼거리도 기대 이하.
									"
"77" " 
										마이클베이 이새끼 더 ㅄ짓 하기 전에 당장 정신병원에 넣어라!!!!
									"
"78" " 
										
									"
"79" " 
										이건 뭐
트랜스포머를 보다가 졸줄이야
내용이 너무 지저분하고 재미도 없고
디워 이후 보다가 졸게되는 영화가 트랜스포머가 됐네요 ㅋ
									"
"80" " 
										
									"
"81" " 
										재미있게 봤어요~ 
									"
"82" " 
										규모만 커지고 여전히 때려 부셔버리기...<U+00A0><U+00A0> 바쁘고 시리즈 나올때마다 지겹게 느껴지는... 
건 사실이지만...변신(?) 하는 장면들은...
역시 끝내주게 멋지구나...
									"
"83" " 
										그만나와주삼...
									"
"84" " 
										더이상 안 만들었으면 좋겠어요..  돈은 많이 썼겠죠?
									"
"85" " 
										당연히 별로였다
									"
"86" " 
										내가 액션영화는 웬만하면 다 재미있게 보는 편인데, 이건 진짜 와~ 말이 안나 오더라.
									"
"87" " 
										3편 마무리 후 4편의 이질감을 잘정리하고
중세기사와 연계하여 흥미롭게 시작.
그러나 마무리가 부실.
막판 40분이 오히려 지겨움 ㅡ.ㅡ
대체 로봇액션은 어디감? 오토봇은 합체안하나?
디셉티콘만 합체. 드래곤 로봇과 12인 기사 소스를
허무하게 낭비.. 아쉬움이 남음
									"
"88" " 
										보여줄 건 초반에 다 보여주고 뒤로 갈수록 스토리 편집 개판이네
정신 사나워서 집중이 안된다. 마이클 베이는 아마도 최악의 감독상 
받는 걸 즐기는거 아닐까?ㅋ 
									"
"89" " 
										
									"
"90" " 
										
									"
"91" " 
										
									"
"92" " 
										
									"
"93" " 
										너무 정신이 없이 짜집기했다는 표가 너무 난다 ㅠ
									"
"94" " 
										신이시어~ 그나마 이 영화를 끝까지 버티고 봤다는 것에 감사합니다. 아마도 시나리오는 유치원생한테 맏겼을 것 같음.우째 그리 유치하기가 극에 치닫는지......시리즈를 끌고 갈 생각은 이제 그만.끝 장면에 괜시리 후속작 예고하듯이 하던데 그러지 마요. 국내수입 자체를 막고 싶고만. 마이클베이 감독,이제 딴거 하셈
									"
"95" " 
										내내 심각하다 범블비 한방에 끝났네? 특수 효과 때문에 봐 왔지만 너무 최악이다
									"
"96" " 
										
									"
"97" " 
										
									"
"98" " 
										문제를 만드는 과정만 두시간 문제를 해결하는 과정은 30분만 보여주는 나사빠진 시나리오
									"
"99" " 
										뭐지 ?
왜 이렇게 망가졌지 ?
이건 뭐...
안소니가 아깝다...
									"
"100" " 
										
									"
"101" " 
										
									"
"102" " 
										이 시리즈에 대해서 무엇을 더 설명해야할지...
									"
"103" " 
										
									"
"104" " 
										
